section,name_or_setting,v1,v2,v3,v4,v5
e1_NMSE_dB,MP,-81.83897466394295,-128.53296876528844,-50.523363374965484,70,
e1_NMSE_dB,GMP,-64.45927074377558,-109.09075549830513,-101.12695887302868,168,
e1_NMSE_dB,MLP,-32.5141326722867,-48.04669556432254,-38.74483741648588,1602,
e1_NMSE_dB,CNN,-26.184516262729765,-35.63711172125145,-23.747148789033027,938,
e1_NMSE_dB,GRU,-28.72831512370299,-52.15776044532481,-34.99065895764958,2146,
e1_NMSE_dB,KAN,-44.09012033389176,-51.22530051895346,-44.889478825476736,3072,
e1_NMSE_dB,GMP+KAN,-63.595453563018054,-67.7830234052434,-76.10527321391521,3072,
e2_NMSE_dB,NoDPD,-15.361241303951909,-59.9471476190868,11.723881806364687,,
e2_NMSE_dB,GMP,-39.371994071893276,-98.4331649140665,-9.962022963834826,,
e2_NMSE_dB,MLP,-24.47197277601693,-46.27334648235031,-11.201793048847355,,
e2_NMSE_dB,CNN,-23.700594035938128,-35.377029546934196,-10.043628302348388,,
e2_NMSE_dB,GRU,-25.4016536200318,-49.98330324222304,-11.088262009339811,,
e2_NMSE_dB,KAN,-35.850325891261,-51.001662493624984,-11.0932265811138,,
e2_NMSE_dB,GMP+KAN,-39.35606981972644,-67.7802180922333,-9.903972915451627,,
e2_EVM_%,NoDPD,17.06047357711139,0.10244664521394653,385.65069948376834,,
e2_EVM_%,GMP,1.2033102050425297,0.001330229601507285,31.950713654662167,,
e2_EVM_%,MLP,5.9853621258474465,0.486853683244445,27.746292327166422,,
e2_EVM_%,CNN,6.536698611089266,1.7080879751154097,31.489271992193125,,
e2_EVM_%,GRU,5.380766439655013,0.32533944668252535,28.147142039925804,,
e2_EVM_%,KAN,1.648895601878806,0.28744454515544415,28.098642997495425,,
e2_EVM_%,GMP+KAN,1.204117894928834,0.04157939969153056,32.16014792595879,,
e2_ACPR_lower_dB,NoDPD,-8.899127909138247,-8.921515882831267,-9.092072232403343,,
e2_ACPR_lower_dB,GMP,-8.926851884705817,-8.921056786656578,-6.096546689902738,,
e2_ACPR_lower_dB,MLP,-8.911532274941688,-8.922096459517643,-6.2472943418988685,,
e2_ACPR_lower_dB,CNN,-8.809708660120002,-8.878154810121709,-4.969438433207222,,
e2_ACPR_lower_dB,GRU,-8.89180973732413,-8.910465001513828,-6.401241141183235,,
e2_ACPR_lower_dB,KAN,-8.907441072540141,-8.915011351041448,-6.210757038440745,,
e2_ACPR_lower_dB,GMP+KAN,-8.92682688847573,-8.921081835412778,-6.279057195249452,,
e3_A_grid,grid=5,-10.639122884518004,1.2719986068053495,,,
e3_A_grid,grid=7,-10.581548370147022,1.2518121873801458,,,
e3_A_grid,grid=9,-10.543438954364575,1.281718700877374,,,
e3_B_tap,tap=3,-10.512260764799317,0.7394420364484111,,,
e3_B_tap,tap=5,-10.581548370147022,1.2518121873801458,,,
e3_B_tap,tap=7,-10.956697047723079,1.1700283132157185,,,
e3_B_tap,tap=9,-11.20066410431968,1.0356422099971407,,,
e3_C_feature,IQ_only,-10.667031314827717,1.3396844534651542,,,
e3_C_feature,IQ+env,-10.659388392439066,1.3223648713699192,,,
e3_C_feature,IQ+env+phase,-10.581548370147022,1.2518121873801458,,,
e3_D_hybrid,pure_KAN,-10.581548370147022,1.2518121873801458,,,
e3_D_hybrid,GMP+KAN,-9.410778039453827,1.223874733805806,,,
e3_E_quant,fp,-10.581548370147022,1.2518121873801458,,,
e3_E_quant,q12,-10.579130699021535,1.24883030392725,,,
e3_E_quant,q10,-10.566083878980656,1.2657852203992288,,,
e3_E_quant,q8,-10.48581740527748,1.1562399441188544,,,
e3_E_quant,q6,-9.291933695904781,2.41369868978643,,,
e3_E_quant,q4,-0.959355627167665,0.3805279375109893,,,
e3_F_gmp_sweep,"K=5,Q=3",-9.42180184750351,1.1887503588456607,,,
e3_F_gmp_sweep,"K=5,Q=5",-9.622017568520949,0.9010782584564526,,,
e3_F_gmp_sweep,"K=5,Q=7",-9.880392294692712,0.8924556746240893,,,
e3_F_gmp_sweep,"K=7,Q=3",-8.830208795197946,1.1380881186827727,,,
e3_F_gmp_sweep,"K=7,Q=5",-8.387789580944949,0.17873848034219061,,,
e3_F_gmp_sweep,"K=7,Q=7",-8.663142410082717,0.25285446648128623,,,
e3_F_gmp_sweep,"K=9,Q=3",-8.605569835028373,0.886845690300552,,,
e3_F_gmp_sweep,"K=9,Q=5",-8.128756924454379,0.4258276506732771,,,
e3_F_gmp_sweep,"K=9,Q=7",-8.264446651468127,0.7557800456861075,,,
e4_freq_loss,λ=0,-8.410989388485937,42.93522169918891,-5.721586628002531,-5.924028620237025,
e4_freq_loss,λ=0.1,-5.160131176511722,55.210025347408326,-1.7736949739228265,-1.7597672174177423,
e4_freq_loss,λ=1,2.453089143129949,147.41552220537451,-10.495084376331354,-9.258033547224075,
e4_freq_loss,λ=5,8.90544554697279,278.846514837397,-18.230914015968875,-18.330045896888322,
